FR0013447729;05/04/22;22.24;22.30;21.84;22.16;115985
FR0013357621;05/04/22;46.40;46.55;43.55;43.80;17317
FR0011981968;05/04/22;40.02;40.10;38.71;39.06;711715
BE0974310428;05/04/22;6.95;6.95;6.565;6.57;242203
FR0000060402;06/04/22;43.70;44.62;42.96;43.90;77861
FR0000120404;06/04/22;28.29;28.63;26.89;27.13;647048
FR0000045072;06/04/22;10.318;10.41;9.89;10.066;10381340
FR0010340141;06/04/22;124.50;128.05;123.55;126.10;114759
FR0000031122;06/04/22;4.03;4.085;3.904;3.956;2522677
FR0000120073;06/04/22;161.50;162.12;158.84;160.16;762251
NL0000235190;06/04/22;104.96;106.52;103.08;103.80;1781786
FR0004180537;06/04/22;49.05;49.10;48.95;48.95;22085
FR0010313833;06/04/22;109.55;110.70;106.95;107.50;181584
FR0013258662;06/04/22;12.02;12.24;11.62;11.90;192390
FR0010220475;06/04/22;20.96;21.06;19.925;20.24;1783107
FR0000033219;06/04/22;146.20;147.80;144.20;144.80;5369
FR0014004L86;06/04/22;147.90;150.40;145.50;147.20;81747
FR0004125920;06/04/22;61.15;61.80;59.20;59.35;187086
FR0014005AL0;06/04/22;29.12;29.60;28.10;28.30;41158
LU0569974404;06/04/22;38.30;38.30;35.99;36.32;437951
FR0014003U94;06/04/22;7.075;7.075;6.44;6.52;161309
FR0000039216;06/04/22;650.00;650.00;650.00;650.00;1
FR0010481960;06/04/22;117.00;117.20;115.20;117.00;10196
FR0000071946;06/04/22;134.70;135.90;129.80;130.20;27671
FR0000051732;06/04/22;23.86;23.95;22.67;22.84;967831
MC0000031187;06/04/22;66.20;66.20;64.20;64.40;174
FR0004023208;06/04/22;66.00;66.40;65.00;66.40;881
FR0000120966;06/04/22;45.72;45.86;45.22;45.64;30574
FR0000035164;06/04/22;13.58;13.70;13.10;13.14;68145
FR0013280286;06/04/22;100.50;101.05;98.70;99.70;89121
FR0014003FE9;06/04/22;13.98;14.05;13.04;13.11;35053
FR0000120644;06/04/22;50.53;50.85;49.80;50.65;1454336
FR0000131104;06/04/22;48.73;48.995;46.555;47.295;7066223
FR0000039299;06/04/22;4.622;4.654;4.45;4.45;1029907
FR0000061137;06/04/22;586.00;586.00;566.00;566.00;213
FR0006174348;06/04/22;25.50;25.69;24.98;25.12;1048596
FR0000120172;06/04/22;18.945;19.495;18.93;19.395;3232926
FR0000125338;06/04/22;199.15;201.20;190.40;192.90;433482
FR0010828137;06/04/22;14.98;14.98;14.22;14.22;55419
FR0000045601;06/04/22;850.00;850.00;850.00;850.00;6
FR0000130403;06/04/22;626.50;627.00;601.00;606.00;7497
FR0000120222;06/04/22;21.84;21.84;21.82;21.82;272661
NL0010949392;06/04/22;5.92;5.92;5.68;5.74;19
FR0000125585;06/04/22;16.31;16.33;15.50;15.67;342235
FR0010667147;06/04/22;10.77;10.85;10.49;10.60;316258
FR0000064578;06/04/22;71.35;71.65;69.50;70.00;131602
FR0000060303;06/04/22;15.70;15.75;15.20;15.60;6241
FR0000120628;06/04/22;25.84;26.125;25.37;25.71;5573505
FR0000053381;06/04/22;9.20;9.20;8.66;8.78;270899
FR0000077919;06/04/22;20.80;21.16;20.02;20.18;137290
FR0000125486;06/04/22;88.01;89.06;85.43;86.31;1811900
GB0002374006;06/04/22;47.80;47.80;47.80;47.80;119
FR0013154002;06/04/22;394.90;397.50;386.20;390.30;43640
FR0014003TT8;06/04/22;45.875;45.975;43.86;44.04;1235444
FR0010908533;06/04/22;45.68;46.47;45.39;46.03;751246
FR0010242511;06/04/22;8.34;8.38;8.06;8.312;6018507
FR0000121667;06/04/22;169.65;170.20;161.65;163.30;715641
FR0011950732;06/04/22;2.798;2.838;2.592;2.61;2005355
FR0012435121;06/04/22;12.50;12.74;12.14;12.34;422191
FR0000120503;06/04/22;30.61;30.84;30.01;30.37;1236617
FR0010208488;06/04/22;11.71;11.846;11.462;11.754;8369303
NL0006294274;06/04/22;84.38;85.24;82.92;83.38;125218
